Cline	Location	Altitude_meters_above_sea_level	Latitude_degree_North	Longitude_degree_East	Species	Sex	Common_Garden_Temperature_Degree_Centigrade	Phenotype	Phenotype_Unit	Data	Reference	Reference_DOI
Altitude	Parwanoo	640	30.83	76.96	Drosophila melanogaster	Female	21	Desiccation	hours	15.16	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Nahan	1038	30.55	77.29	Drosophila melanogaster	Female	21	Desiccation	hours	19.63	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Dharampur	1437	30.9	77.09	Drosophila melanogaster	Female	21	Desiccation	hours	23.64	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Barog	1680	30.89	77.07	Drosophila melanogaster	Female	21	Desiccation	hours	25.32	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Naldehra	2044	31.18	77.18	Drosophila melanogaster	Female	21	Desiccation	hours	27.67	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Mashobra	2236	31.13	77.23	Drosophila melanogaster	Female	21	Desiccation	hours	29.52	"Parkash R, Aggarwal DD, Kalra B, Ranga P. 2011. Divergence of water balance mechanisms in two melanic Drosophila species from the western Himalayas. Comparative Biochemistry and Physiology, Part A 158:531-541."	doi:10.1016/j.cbpa.2010.12.018
Altitude	Parwanoo	600	30.83	76.96	Drosophila immigrans	Female	21	Desiccation	hours	13.1	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Mandi	761	31.58	76.91	Drosophila immigrans	Female	21	Desiccation	hours	14.3	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Chamba	996	32.34	76.74	Drosophila immigrans	Female	21	Desiccation	hours	15	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
Altitude	Dharamshala	1219	32.21	76.32	Drosophila immigrans	Female	21	Desiccation	hours	16.1	"Parkash R, Ramniwas S, Rajpurohit S, Sharma V. 2008. Variations in body melanization impact desiccation resistance in Drosophila immigrans from Western Himalayas. Journal of Zoology 276:219-227."	doi:10.1111/j.1469-7998.2008.00478.x
